,word,count
0,국보,2.0
1,아줌마,3.0
2,팩트,2.0
2,팩트체크,4.0
2,체크,2.0
2,보드,2.0
3,대한,2.0
3,대한민국,4.0
3,대한민국사람,6.0
3,민국,2.0
3,사람,2.0
3,자랑,2.0
3,우리,2.0
3,하자,2.0
4,월드,2.0
4,클래스,3.0
4,소식,2.0
4,응원,2.0
5,정국,2.0
5,정국오빠,4.0
5,오빠,2.0
5,생일,2.0
5,보드,2.0
5,위기사라니,5.0
5,기사,2.0
5,라니,2.0
5,축제,2.0
6,축하,2.0
6,응원,2.0
6,계정,2.0
6,스트리밍,4.0
6,사재기,3.0
6,팬덤,2.0
6,테러,2.0
6,개념,2.0
6,개념보고,4.0
6,보고,2.0
6,최고,2.0
7,기자,2.0
7,발표,2.0
8,자랑,2.0
8,축하,2.0
9,응원,2.0
9,사랑,2.0
10,빈집,2.0
10,빈집털이,4.0
10,털이,2.0
11,여러분,3.0
11,보드,2.0
11,가보,2.0
11,도댜체,3.0
11,가야,2.0
11,다이나,3.0
11,다이나마이트,6.0
11,마이트,3.0
11,거지,2.0
11,안보,2.0
12,마이클,3.0
12,마이클잭,4.0
12,마돈나,3.0
12,보드,2.0
13,보드,2.0
13,가치,2.0
13,옛날,2.0
13,차트,2.0
13,시절,2.0
13,요새,2.0
13,음악,2.0
13,대한,2.0
13,대한민국,4.0
13,대한민국인,5.0
13,민국,2.0
13,멜론,2.0
14,일본인,3.0
14,대한,2.0
14,대한민국,4.0
14,민국,2.0
15,케이,2.0
15,팝중,2.0
15,북미,2.0
15,아들,2.0
15,대중적,3.0
15,인지도,3.0
15,인기,2.0
15,인기확보,4.0
15,확보,2.0
15,플러스,3.0
15,블랙,2.0
15,블랙핑크,4.0
15,핑크,2.0
15,얘들,2.0
15,자체,2.0
15,거임,2.0
15,케이,2.0
15,케이팝,3.0
15,아시아,3.0
15,아시아위주임,6.0
15,주임,2.0
15,남미,2.0
16,최고,2.0
16,자랑,2.0
17,축하,2.0
18,보드,2.0
18,세계,2.0
18,세계대회,4.0
18,대회,2.0
18,우승,2.0
19,내가,2.0
19,최고,2.0
19,대한,2.0
19,대한민국,4.0
19,민국,2.0
19,자랑,2.0
19,우리,2.0
20,이상,2.0
20,후원,2.0
20,영광,2.0
20,댓가,2.0
20,이용,2.0
20,마라,2.0
20,노력,2.0
20,정치적,3.0
22,요즘,2.0
22,코로나,3.0
22,코로나때문,5.0
22,때문,2.0
22,해외,2.0
22,춘천,2.0
22,일주일간,4.0
22,생활,2.0
22,방영,2.0
22,내가,2.0
22,사람,2.0
22,빅히트,3.0
22,히트,2.0
22,아미,2.0
22,한글,2.0
22,영상,2.0
22,업로드,3.0
22,로드,2.0
22,국위선양국위,6.0
22,위선,2.0
22,양국,2.0
22,선양,2.0
22,선양선양,4.0
22,곳곳,2.0
22,가족,2.0
22,결혼,2.0
22,배우자,3.0
22,자식,2.0
22,대대,2.0
22,대대손손,4.0
22,대한,2.0
22,대한민국,4.0
22,민국,2.0
22,동안,2.0
22,군면제,3.0
22,면제,2.0
22,손흥민도,4.0
22,민도,2.0
22,국격,2.0
22,넘사벽,3.0
22,사벽,2.0
23,일본,2.0
24,최고,2.0
24,차트,2.0
24,진정,2.0
24,위지,2.0
25,니들,2.0
25,미쿡,2.0
25,미쿡서,3.0
25,적폐,2.0
26,군면제,3.0
26,면제,2.0
26,요즘,2.0
26,완전,2.0
26,당대,2.0
26,대한,2.0
26,대한민국,4.0
26,민국,2.0
26,년도,2.0
26,전멤버,3.0
26,멤버,2.0
26,군필자,3.0
26,필자,2.0
26,이미지,3.0
26,상남자,3.0
26,남자,2.0
26,컨셉,2.0
26,변신,2.0
26,활동,2.0
26,인기,2.0
